"check","status","detail","timestamp"
"file_exists:estabilidad","PASS","/home/w182/w421/pt_app/data/raw/datos_estabilidad_homogeneidad.csv","2026-05-08 15:50:15"
"file_exists:design","PASS","/home/w182/w421/pt_app/data/metadata/diseno_estabilidad_homogeneidad.csv","2026-05-08 15:50:15"
"file_exists:levels","PASS","/home/w182/w421/pt_app/data/metadata/niveles_calaire.csv","2026-05-08 15:50:15"
"separator","PASS","Separator ; detected","2026-05-08 15:50:15"
"units_row_excluded","PASS","No rows with NA timestamp","2026-05-08 15:50:15"
"hourly_n75pct","PASS","22 valid hours with n >= 45","2026-05-08 15:50:15"
"mm_n60","PASS","600 valid windows with n_points=60","2026-05-08 15:50:15"
"mm_block_count","PASS","10 blocks with exactly 60 MMs each","2026-05-08 15:50:15"
"decimal_output:hourly","PASS","Numeric columns stored as R numeric (point decimal)","2026-05-08 15:50:15"
"decimal_output:mm","PASS","Numeric columns stored as R numeric (point decimal)","2026-05-08 15:50:15"
"row_counts","PASS","raw=1021 clean=1021 hourly=46 mm=602","2026-05-08 15:50:15"
"nominal_levels","PASS","All generator values within tolerance for assigned levels","2026-05-08 15:50:15"
"timestamp_parse","PASS","All 1021 timestamps parsed","2026-05-08 15:50:15"
"chronological_order","PASS","Timestamps in chronological order","2026-05-08 15:50:15"
"duplicate_timestamps","PASS","No duplicate timestamps","2026-05-08 15:50:15"
"minute_gaps","PASS","No minute gaps","2026-05-08 15:50:15"
"na_counts","PASS","co_tapi_ppm:0; co_gen_ppm:24; so2_ppb:0; so2_gen_ppb:24","2026-05-08 15:50:15"
