"pollutant","level","source","run","unit","instrument","mean_h1","mean_h2","mean_h3","mean_value","sd_value","u_value","n_hours","hour_starts","participant_id","tipo","k_factor","u_exp","n_lab"
"co","0-µmol/mol","ronda_participante",1,"µmol/mol","p1",0.035,NA,NA,0.035,0.02,0.003,1,"2026-04-23 12:30:00","p1","participante",2,0.006,1
"co","6.3-µmol/mol","ronda_participante",2,"µmol/mol","p1",6.493,6.5,6.474,6.489,0.013,0.008,3,"2026-04-23 14:03:00|2026-04-23 15:03:00|2026-04-23 16:03:00","p1","participante",2,0.016,1
"co","4.2-µmol/mol","ronda_participante",3,"µmol/mol","p1",4.343,4.322,4.305,4.323,0.019,0.011,3,"2026-04-23 17:03:00|2026-04-23 18:03:00|2026-04-23 19:03:00","p1","participante",2,0.022,1
"co","2.8-µmol/mol","ronda_participante",4,"µmol/mol","p1",2.877,2.87,2.86,2.869,0.009,0.005,3,"2026-04-23 20:06:00|2026-04-23 21:06:00|2026-04-23 22:06:00","p1","participante",2,0.01,1
"co","1.4-µmol/mol","ronda_participante",5,"µmol/mol","p1",1.47,1.451,1.456,1.459,0.01,0.006,3,"2026-04-23 23:03:00|2026-04-24 00:03:00|2026-04-24 01:03:00","p1","participante",2,0.012,1
"so2","0-nmol/mol","ronda_participante",1,"nmol/mol","p1",0.272,NA,NA,0.272,0.218,0.028,1,"2026-04-23 12:30:00","p1","participante",2,0.056,1
"so2","179-nmol/mol","ronda_participante",2,"nmol/mol","p1",183.457,184.818,185.329,184.535,0.968,0.559,3,"2026-04-23 14:03:00|2026-04-23 15:03:00|2026-04-23 16:03:00","p1","participante",2,1.118,1
"so2","119-nmol/mol","ronda_participante",3,"nmol/mol","p1",123.517,122.963,122.794,123.091,0.378,0.218,3,"2026-04-23 17:03:00|2026-04-23 18:03:00|2026-04-23 19:03:00","p1","participante",2,0.436,1
"so2","80-nmol/mol","ronda_participante",4,"nmol/mol","p1",81.687,81.696,80.956,81.446,0.425,0.245,3,"2026-04-23 20:06:00|2026-04-23 21:06:00|2026-04-23 22:06:00","p1","participante",2,0.49,1
"so2","40-nmol/mol","ronda_participante",5,"nmol/mol","p1",40.772,40.898,40.707,40.792,0.097,0.056,3,"2026-04-23 23:03:00|2026-04-24 00:03:00|2026-04-24 01:03:00","p1","participante",2,0.112,1
"co","0-µmol/mol","ronda",1,"µmol/mol","calaire_ref",-0.024,NA,NA,-0.024,0.03,0.004,1,"2026-04-23 12:30:00",NA,"referencia",2,0.008,1
"co","6.3-µmol/mol","ronda",2,"µmol/mol","calaire_ref",6.28,6.281,6.317,6.293,0.021,0.012,3,"2026-04-23 14:03:00|2026-04-23 15:03:00|2026-04-23 16:03:00",NA,"referencia",2,0.024,1
"co","4.2-µmol/mol","ronda",3,"µmol/mol","calaire_ref",4.192,4.151,4.153,4.165,0.023,0.013,3,"2026-04-23 17:03:00|2026-04-23 18:03:00|2026-04-23 19:03:00",NA,"referencia",2,0.026,1
"co","2.8-µmol/mol","ronda",4,"µmol/mol","calaire_ref",2.777,2.772,2.764,2.771,0.007,0.004,3,"2026-04-23 20:06:00|2026-04-23 21:06:00|2026-04-23 22:06:00",NA,"referencia",2,0.008,1
"co","1.4-µmol/mol","ronda",5,"µmol/mol","calaire_ref",1.4,1.378,1.393,1.39,0.011,0.006,3,"2026-04-23 23:03:00|2026-04-24 00:03:00|2026-04-24 01:03:00",NA,"referencia",2,0.012,1
"so2","0-nmol/mol","ronda",1,"nmol/mol","calaire_ref",-0.031,NA,NA,-0.031,0.042,0.005,1,"2026-04-23 12:30:00",NA,"referencia",2,0.01,1
"so2","179-nmol/mol","ronda",2,"nmol/mol","calaire_ref",177.287,179.98,180.058,179.108,1.578,0.911,3,"2026-04-23 14:03:00|2026-04-23 15:03:00|2026-04-23 16:03:00",NA,"referencia",2,1.822,1
"so2","119-nmol/mol","ronda",3,"nmol/mol","calaire_ref",121.04,120.497,120.46,120.666,0.325,0.188,3,"2026-04-23 17:03:00|2026-04-23 18:03:00|2026-04-23 19:03:00",NA,"referencia",2,0.376,1
"so2","80-nmol/mol","ronda",4,"nmol/mol","calaire_ref",80.564,80.607,80.427,80.533,0.094,0.054,3,"2026-04-23 20:06:00|2026-04-23 21:06:00|2026-04-23 22:06:00",NA,"referencia",2,0.108,1
"so2","40-nmol/mol","ronda",5,"nmol/mol","calaire_ref",40.67,40.421,40.402,40.498,0.15,0.087,3,"2026-04-23 23:03:00|2026-04-24 00:03:00|2026-04-24 01:03:00",NA,"referencia",2,0.174,1
