"source","run","pollutant","level","unit","instrument","mean_h1","mean_h2","mean_h3","mean_value","sd_value","u_value","n_hours","hour_starts"
"ronda",1,"co","0-µmol/mol","µmol/mol","calaire_ref",-0.024,NA,NA,-0.024,0.03,0.004,1,"2026-04-23 12:30:00"
"ronda",2,"co","6.3-µmol/mol","µmol/mol","calaire_ref",6.28,6.281,6.317,6.293,0.021,0.012,3,"2026-04-23 14:03:00|2026-04-23 15:03:00|2026-04-23 16:03:00"
"ronda",3,"co","4.2-µmol/mol","µmol/mol","calaire_ref",4.192,4.151,4.153,4.165,0.023,0.013,3,"2026-04-23 17:03:00|2026-04-23 18:03:00|2026-04-23 19:03:00"
"ronda",4,"co","2.8-µmol/mol","µmol/mol","calaire_ref",2.777,2.772,2.764,2.771,0.007,0.004,3,"2026-04-23 20:06:00|2026-04-23 21:06:00|2026-04-23 22:06:00"
"ronda",5,"co","1.4-µmol/mol","µmol/mol","calaire_ref",1.4,1.378,1.393,1.39,0.011,0.006,3,"2026-04-23 23:03:00|2026-04-24 00:03:00|2026-04-24 01:03:00"
"ronda",1,"so2","0-nmol/mol","nmol/mol","calaire_ref",-0.031,NA,NA,-0.031,0.042,0.005,1,"2026-04-23 12:30:00"
"ronda",2,"so2","179-nmol/mol","nmol/mol","calaire_ref",177.287,179.98,180.058,179.108,1.578,0.911,3,"2026-04-23 14:03:00|2026-04-23 15:03:00|2026-04-23 16:03:00"
"ronda",3,"so2","119-nmol/mol","nmol/mol","calaire_ref",121.04,120.497,120.46,120.666,0.325,0.188,3,"2026-04-23 17:03:00|2026-04-23 18:03:00|2026-04-23 19:03:00"
"ronda",4,"so2","80-nmol/mol","nmol/mol","calaire_ref",80.564,80.607,80.427,80.533,0.094,0.054,3,"2026-04-23 20:06:00|2026-04-23 21:06:00|2026-04-23 22:06:00"
"ronda",5,"so2","40-nmol/mol","nmol/mol","calaire_ref",40.67,40.421,40.402,40.498,0.15,0.087,3,"2026-04-23 23:03:00|2026-04-24 00:03:00|2026-04-24 01:03:00"
